id,destinacija,datum,dan,cas 
v9838,Rome Fiumicino,6/11/2022,NED,1:0
v9839,Rome Fiumicino,9/11/2022,SRE,1:0
v9840,Rome Fiumicino,5/11/2022,SOB,1:0
v9841,Rome Fiumicino,6/11/2022,NED,1:0
v9842,Rome Fiumicino,6/11/2022,NED,1:0
v9843,Rome Fiumicino,7/11/2022,PON,1:0
v9844,Rome Fiumicino,8/11/2022,TOR,1:0
v9845,Rome Fiumicino,9/11/2022,SRE,1:0
v9846,Rome Fiumicino,12/11/2022,SOB,1:0
v9847,Rome Fiumicino,7/11/2022,PON,1:0
v9848,Rome Fiumicino,8/11/2022,TOR,1:0
v9849,Rome Fiumicino,7/11/2022,PON,1:0
v9850,Rome Fiumicino,8/11/2022,TOR,1:0
v9851,Rome Fiumicino,9/11/2022,SRE,1:0
v9852,Rome Fiumicino,10/11/2022,CET,1:0
v9853,Rome Fiumicino,10/11/2022,CET,1:0
v9854,Rome Fiumicino,10/11/2022,CET,1:0
v9855,Rome Fiumicino,11/11/2022,PET,1:0
v9856,Rome Fiumicino,11/11/2022,PET,1:0
v9857,Rome Fiumicino,11/11/2022,PET,1:0
v9858,Rome Fiumicino,12/11/2022,SOB,1:0
v9859,Rome Fiumicino,13/11/2022,NED,1:0
v9860,Rome Fiumicino,14/11/2022,PON,1:0
v9861,Rome Fiumicino,15/11/2022,TOR,1:0
v9862,Rome Fiumicino,12/11/2022,SOB,1:0
v9863,Rome Fiumicino,13/11/2022,NED,1:0
v9864,Rome Fiumicino,14/11/2022,PON,1:0
v9865,Rome Fiumicino,15/11/2022,TOR,1:0
v9866,Rome Fiumicino,16/11/2022,SRE,1:0
v9867,Rome Fiumicino,17/11/2022,CET,1:0
v9868,Rome Fiumicino,18/11/2022,PET,1:0
v9869,Rome Fiumicino,19/11/2022,SOB,1:0
v9870,Rome Fiumicino,20/11/2022,NED,1:0
v9871,Rome Fiumicino,21/11/2022,PON,1:0
v9872,Rome Fiumicino,22/11/2022,TOR,1:0
v9873,Rome Fiumicino,23/11/2022,SRE,1:0
v9874,Rome Fiumicino,24/11/2022,CET,1:0
v9875,Rome Fiumicino,25/11/2022,PET,1:0
v9876,Rome Fiumicino,26/11/2022,SOB,1:0
v9877,Rome Fiumicino,27/11/2022,NED,1:0
v9878,Rome Fiumicino,28/11/2022,PON,1:0
v9879,Rome Fiumicino,29/11/2022,TOR,1:0
v9880,Rome Fiumicino,30/11/2022,SRE,1:0
v9881,Rome Fiumicino,1/12/2022,CET,1:0
v9882,Rome Fiumicino,2/12/2022,PET,1:0
v9883,Rome Fiumicino,3/12/2022,SOB,1:0
v9884,Rome Fiumicino,4/12/2022,NED,1:0
v9885,Rome Fiumicino,5/12/2022,PON,1:0
v9886,Rome Fiumicino,6/12/2022,TOR,1:0
v9887,Rome Fiumicino,7/12/2022,SRE,1:0
v9888,Rome Fiumicino,8/12/2022,CET,1:0
v9889,Rome Fiumicino,9/12/2022,PET,1:0
v9890,Rome Fiumicino,10/12/2022,SOB,1:0
v9891,Rome Fiumicino,11/12/2022,NED,1:0
v9892,Rome Fiumicino,12/12/2022,PON,1:0
v9893,Rome Fiumicino,13/12/2022,TOR,1:0
v9894,Rome Fiumicino,14/12/2022,SRE,1:0
v9895,Rome Fiumicino,15/12/2022,CET,1:0
v9896,Rome Fiumicino,16/12/2022,PET,1:0
v9897,Rome Fiumicino,17/12/2022,SOB,1:0
v9898,Rome Fiumicino,18/12/2022,NED,1:0
v9899,Rome Fiumicino,19/12/2022,PON,1:0
v9900,Rome Fiumicino,20/12/2022,TOR,1:0
v9901,Rome Fiumicino,21/12/2022,SRE,1:0
v9902,Rome Fiumicino,22/12/2022,CET,1:0
v9903,Rome Fiumicino,23/12/2022,PET,1:0
v9904,Rome Fiumicino,24/12/2022,SOB,1:0
v9905,Rome Fiumicino,25/12/2022,NED,1:0
v9906,Rome Fiumicino,26/12/2022,PON,1:0
v9907,Rome Fiumicino,27/12/2022,TOR,1:0
v9908,Rome Fiumicino,28/12/2022,SRE,1:0
v9909,Rome Fiumicino,29/12/2022,CET,1:0
v9910,Rome Fiumicino,30/12/2022,PET,1:0
v9911,Rome Fiumicino,31/12/2022,SOB,1:0
v9912,Rome Fiumicino,1/1/2023,NED,1:0
v9913,Rome Fiumicino,2/1/2023,PON,1:0
v9914,Rome Fiumicino,3/1/2023,TOR,1:0
v9915,Rome Fiumicino,4/1/2023,SRE,1:0
v9916,Rome Fiumicino,5/1/2023,CET,1:0
v9917,Rome Fiumicino,6/1/2023,PET,1:0
v9918,Rome Fiumicino,7/1/2023,SOB,1:0
v9919,Rome Fiumicino,8/1/2023,NED,1:0
v9920,Rome Fiumicino,9/1/2023,PON,1:0
v9921,Rome Fiumicino,10/1/2023,TOR,1:0
v9922,Rome Fiumicino,11/1/2023,SRE,1:0
v9923,Rome Fiumicino,12/1/2023,CET,1:0
v9924,Rome Fiumicino,13/1/2023,PET,1:0
v9925,Rome Fiumicino,14/1/2023,SOB,1:0
v9926,Rome Fiumicino,15/1/2023,NED,1:0
v9927,Rome Fiumicino,16/1/2023,PON,1:0
v9928,Rome Fiumicino,17/1/2023,TOR,1:0
v9929,Rome Fiumicino,18/1/2023,SRE,1:0
v9930,Rome Fiumicino,19/1/2023,CET,1:0
v9931,Rome Fiumicino,20/1/2023,PET,1:0
v9932,Rome Fiumicino,21/1/2023,SOB,1:0
v9933,Rome Fiumicino,22/1/2023,NED,1:0
v9934,Rome Fiumicino,23/1/2023,PON,1:0
v9935,Rome Fiumicino,24/1/2023,TOR,1:0
v9936,Rome Fiumicino,25/1/2023,SRE,1:0
v9937,Rome Fiumicino,26/1/2023,CET,1:0
v9938,Rome Fiumicino,27/1/2023,PET,1:0
v9939,Rome Fiumicino,28/1/2023,SOB,1:0
v9940,Rome Fiumicino,29/1/2023,NED,1:0
v9941,Rome Fiumicino,30/1/2023,PON,1:0
v9942,Rome Fiumicino,31/1/2023,TOR,1:0
v9943,Rome Fiumicino,1/2/2023,SRE,1:0
v9944,Rome Fiumicino,2/2/2023,CET,1:0
v9945,Rome Fiumicino,3/2/2023,PET,1:0
v9946,Rome Fiumicino,4/2/2023,SOB,1:0
v9947,Rome Fiumicino,5/2/2023,NED,1:0
v9948,Rome Fiumicino,6/2/2023,PON,1:0
v9949,Rome Fiumicino,7/2/2023,TOR,1:0
